,geometry,GCX_OID,Address,Legal Description,Legal Type,Folio,PID,Additional PIDs,Plan Number,Land Use Code,Zoning,Zoning Description,Garbage Zone,Approximate Site Area (m²),Street View
13233,Geocortex.Gis.Geometries.Polygon,482,1252 AMAZON DR,"LOT 24, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN LMP30649",LAND,763041-024,023-593-237,No,LMP30649,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,374.808837890625,Click for Google StreetView
13237,Geocortex.Gis.Geometries.Polygon,490,1221 ELLIS DR,"LOT 210, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP35657",LAND,926753-000,007-189-940,No,35657,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,574.90087890625,Click for Google StreetView
13238,Geocortex.Gis.Geometries.Polygon,491,1252 ELLIS DR,"LOT 260, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP35127",LAND,927364-000,007-972-059,No,35127,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,612.267333984375,Click for Google StreetView
13239,Geocortex.Gis.Geometries.Polygon,495,1178 AMAZON DR,"LOT 24, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN BCP11993",LAND,764040-124,025-976-478,No,BCP11993,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,454.97509765625,Click for Google StreetView
13240,Geocortex.Gis.Geometries.Polygon,500,1233 AMAZON DR,"LOT 11, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN LMP30649",LAND,763041-011,023-593-105,No,LMP30649,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,429.24072265625,Click for Google StreetView
13242,Geocortex.Gis.Geometries.Polygon,506,1277 BARBERRY DR,"LOT 84, BLOCK 6N, SECTION 6, TOWNSHIP 40, RANGE 1E, NEW WEST DISTRICT, PLAN NWP31159",LAND,926310-000,006-578-551,No,31159,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,747.54052734375,Click for Google StreetView
13243,Geocortex.Gis.Geometries.Polygon,509,1259 ELLIS DR,"LOT 104, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP31159",LAND,926726-000,006-579-094,No,31159,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,673.9658203125,Click for Google StreetView
13244,Geocortex.Gis.Geometries.Polygon,510,2974 LARCH WAY,"LOT 228, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP34516",LAND,926334-000,000-681-768,No,34516,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,645.47900390625,Click for Google StreetView
13245,Geocortex.Gis.Geometries.Polygon,512,1319 AMAZON CRT,"LOT 18, BLOCK 6, SECTION 6, NEW WEST DISTRICT, PLAN LMP22701",LAND,762019-018,023-051-213,No,LMP22701,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,414.678466796875,Click for Google StreetView
13246,Geocortex.Gis.Geometries.Polygon,518,3086 KILMER ST,"LOT 83, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP29184",LAND,924750-000,009-092-684,No,29184,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,683.3857421875,Click for Google StreetView
13248,Geocortex.Gis.Geometries.Polygon,525,1242 BARBERRY DR,"LOT 116, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN NWP31159",LAND,927331-000,006-579-230,No,31159,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,676.119140625,Click for Google StreetView
13249,Geocortex.Gis.Geometries.Polygon,529,1253 ELLIS DR,"LOT 243, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP35127",LAND,926736-000,007-100-825,No,35127,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,643.030029296875,Click for Google StreetView
13250,Geocortex.Gis.Geometries.Polygon,535,3007 LARCH WAY,"LOT 216, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP34516",LAND,925310-000,007-072-473,No,34516,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,677.6416015625,Click for Google StreetView
13251,Geocortex.Gis.Geometries.Polygon,541,1246 TAMARACK PL,"LOT 101, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP31159",LAND,926720-000,005-286-964,No,31159,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,649.415771484375,Click for Google StreetView
13252,Geocortex.Gis.Geometries.Polygon,546,1262 TAMARACK PL,"LOT 91, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP31159",LAND,926324-000,006-578-748,No,31159,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,706.9130859375,Click for Google StreetView
13253,Geocortex.Gis.Geometries.Polygon,547,3080 NEWBERRY ST,"LOT 78, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP27349",LAND,925020-000,008-968-519,No,27349,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,788.09228515625,Click for Google StreetView
13254,Geocortex.Gis.Geometries.Polygon,563,3153 KILMER ST,"LOT 128, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP31038",LAND,924787-000,006-556-639,No,31038,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,733.28369140625,Click for Google StreetView
13255,Geocortex.Gis.Geometries.Polygon,564,3136 KILMER ST,"LOT 30, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP21046",LAND,924744-000,001-270-516,No,21046,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,803.603271484375,Click for Google StreetView
13257,Geocortex.Gis.Geometries.Polygon,568,1228 ELLIS DR,"LOT 254, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP35127",LAND,927352-000,007-100-914,No,35127,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,689.77880859375,Click for Google StreetView
13258,Geocortex.Gis.Geometries.Polygon,569,1203 LABURNUM AVE,"LOT 168, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP36482",LAND,925746-000,000-762-296,No,36482,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,758.737060546875,Click for Google StreetView
13259,Geocortex.Gis.Geometries.Polygon,570,1189 LABURNUM AVE,"LOT 171, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP36482",LAND,926055-000,007-296-991,No,36482,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,551.394775390625,Click for Google StreetView
13260,Geocortex.Gis.Geometries.Polygon,572,1193 AMAZON DR,"LOT 22, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN BCP11993",LAND,764040-122,025-976-451,No,BCP11993,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,374.85009765625,Click for Google StreetView
13263,Geocortex.Gis.Geometries.Polygon,576,1226 TAMARACK PL,"LOT 99, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP31159",LAND,926716-000,003-839-303,No,31159,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,1000.0,Click for Google StreetView
13264,Geocortex.Gis.Geometries.Polygon,586,1264 AMAZON DR,"LOT 27, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN LMP30649",LAND,763041-027,023-593-261,No,LMP30649,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,374.827880859375,Click for Google StreetView
13265,Geocortex.Gis.Geometries.Polygon,590,1240 ELLIS DR,"LOT 257, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP35127",LAND,927358-000,007-100-949,No,35127,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,705.013671875,Click for Google StreetView
13266,Geocortex.Gis.Geometries.Polygon,600,1162 AMAZON ST,"LOT 27, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN BCP11993",LAND,764040-127,025-976-508,No,BCP11993,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,374.78466796875,Click for Google StreetView
13267,Geocortex.Gis.Geometries.Polygon,605,1271 TAMARACK PL,"LOT 231, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP34516",LAND,925728-000,007-072-741,No,34516,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,726.1044921875,Click for Google StreetView
13270,Geocortex.Gis.Geometries.Polygon,610,1240 AMAZON DR,"LOT 21, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN LMP30649",LAND,763041-021,023-593-202,No,LMP30649,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,374.808349609375,Click for Google StreetView
13271,Geocortex.Gis.Geometries.Polygon,616,1311 AMAZON CRT,"LOT 20, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN LMP22701",LAND,762019-020,023-051-230,No,LMP22701,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,499.278076171875,Click for Google StreetView
13273,Geocortex.Gis.Geometries.Polygon,618,1266 BARBERRY DR,"LOT 119, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN NWP31159",LAND,927328-000,002-260-913,No,31159,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,698.776123046875,Click for Google StreetView
13274,Geocortex.Gis.Geometries.Polygon,622,2950 LARCH WAY,"LOT 225, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP34516",LAND,926328-000,004-378-334,No,34516,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,645.565185546875,Click for Google StreetView
13276,Geocortex.Gis.Geometries.Polygon,626,1221 AMAZON DR,"LOT 14, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN LMP30649",LAND,763041-014,023-593-130,No,LMP30649,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,446.597900390625,Click for Google StreetView
13278,Geocortex.Gis.Geometries.Polygon,633,1224 AMAZON DR,"LOT 17, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN LMP30649",LAND,763041-017,023-593-164,No,LMP30649,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,377.096435546875,Click for Google StreetView
13279,Geocortex.Gis.Geometries.Polygon,637,1157 AMAZON DR,"LOT 22, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN BCP9506",LAND,764040-022,025-870-491,No,BCP9506,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,374.8232421875,Click for Google StreetView
13280,Geocortex.Gis.Geometries.Polygon,645,1296 BARBERRY DR,"LOT 73, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN NWP22446, & SEC 6 TWP 40",LAND,927307-000,009-275-371,No,22446,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,744.924560546875,Click for Google StreetView
13281,Geocortex.Gis.Geometries.Polygon,647,2925 SANDLEWOOD WAY,"LOT 85, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP31159",LAND,926312-000,006-578-616,No,31159,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,673.9287109375,Click for Google StreetView
13282,Geocortex.Gis.Geometries.Polygon,651,1217 FRASER AVE,"LOT 35, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP21046",LAND,924754-000,010-216-006,No,21046,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,683.357666015625,Click for Google StreetView
13285,Geocortex.Gis.Geometries.Polygon,657,1184 FRASER AVE,"LOT 183, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP37656",LAND,926018-000,008-467-749,No,37656,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,701.3095703125,Click for Google StreetView
13286,Geocortex.Gis.Geometries.Polygon,659,3145 KILMER ST,"LOT 129, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP31038",LAND,924788-000,006-556-671,No,31038,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,729.92724609375,Click for Google StreetView
13289,Geocortex.Gis.Geometries.Polygon,663,3015 SANDLEWOOD WAY,"LOT 134, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP31865",LAND,925721-000,006-638-180,No,31865,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,674.48046875,Click for Google StreetView
13290,Geocortex.Gis.Geometries.Polygon,664,1247 TAMARACK PL,"LOT 94, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP31159",LAND,926706-000,006-578-861,No,31159,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,662.4306640625,Click for Google StreetView
13291,Geocortex.Gis.Geometries.Polygon,665,1185 LABURNUM AVE,"LOT 172, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP36482",LAND,926056-000,002-375-818,No,36482,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,661.751708984375,Click for Google StreetView
13292,Geocortex.Gis.Geometries.Polygon,667,3129 NEWBERRY ST,"LOT 16, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP21046",LAND,924720-000,010-215-875,No,21046,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,803.609130859375,Click for Google StreetView
13293,Geocortex.Gis.Geometries.Polygon,670,1241 ELLIS DR,"LOT 246, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP35127",LAND,926742-000,007-100-868,No,35127,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,584.974365234375,Click for Google StreetView
13294,Geocortex.Gis.Geometries.Polygon,672,3049 LARCH WAY,"LOT 221, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP34516",LAND,925320-000,007-072-554,No,34516,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,677.603515625,Click for Google StreetView
13296,Geocortex.Gis.Geometries.Polygon,674,1268 LABURNUM AVE,"LOT 140, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP31865",LAND,926729-000,006-638-309,No,31865,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,742.87158203125,Click for Google StreetView
13297,Geocortex.Gis.Geometries.Polygon,675,1198 LABURNUM AVE,"LOT 159, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP36482",LAND,926783-000,005-110-718,No,36482,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,674.86767578125,Click for Google StreetView
13298,Geocortex.Gis.Geometries.Polygon,676,1214 LABURNUM AVE,"LOT 162, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP36482, PART SW 1/4",LAND,926787-000,002-153-246,No,36482,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,623.390625,Click for Google StreetView
13299,Geocortex.Gis.Geometries.Polygon,683,1244 ELLIS DR,"LOT 258, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP35127",LAND,927360-000,007-100-957,No,35127,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,609.038330078125,Click for Google StreetView
13300,Geocortex.Gis.Geometries.Polygon,686,1268 AMAZON DR,"LOT 28, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN LMP30649",LAND,763041-028,023-593-270,No,LMP30649,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,374.821533203125,Click for Google StreetView
13301,Geocortex.Gis.Geometries.Polygon,694,1327 AMAZON CRT,"LOT 16, SECTION 6, NEW WEST DISTRICT, PLAN LMP22701",LAND,762019-016,023-051-191,No,LMP22701,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,739.557861328125,Click for Google StreetView
13302,Geocortex.Gis.Geometries.Polygon,700,1154 AMAZON ST,"LOT 28, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN BCP11993",LAND,764040-128,025-976-516,No,BCP11993,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,374.782958984375,Click for Google StreetView
13303,Geocortex.Gis.Geometries.Polygon,703,1220 BARBERRY DR,"LOT 147, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP33430",LAND,927325-000,006-821-642,No,33430,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,857.98193359375,Click for Google StreetView
13304,Geocortex.Gis.Geometries.Polygon,705,3032 LARCH WAY,"LOT 234, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP34516",LAND,925734-000,005-401-968,No,34516,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,688.87548828125,Click for Google StreetView
13305,Geocortex.Gis.Geometries.Polygon,707,1244 AMAZON DR,"LOT 22, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN LMP30649",LAND,763041-022,023-593-211,No,LMP30649,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,374.830322265625,Click for Google StreetView
13306,Geocortex.Gis.Geometries.Polygon,708,1273 AMAZON DR,"LOT 1, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN LMP30649",LAND,763041-001,023-593-008,No,LMP30649,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,428.21533203125,Click for Google StreetView
13307,Geocortex.Gis.Geometries.Polygon,710,1268 BARBERRY DR,"LOT 120, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN NWP31159",LAND,927333-000,006-579-272,No,31159,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,699.53173828125,Click for Google StreetView
13308,Geocortex.Gis.Geometries.Polygon,713,2958 LARCH WAY,"LOT 226, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP34516",LAND,926330-000,007-072-643,No,34516,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,645.885009765625,Click for Google StreetView
13311,Geocortex.Gis.Geometries.Polygon,725,1235 BARBERRY DR,"LOT 110, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP31159",LAND,927320-000,006-579-213,No,31159,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,608.650634765625,Click for Google StreetView
13312,Geocortex.Gis.Geometries.Polygon,726,1238 FRASER AVE,"LOT 204, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP38224",LAND,925712-000,000-540-455,No,38224,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,604.736083984375,Click for Google StreetView
13313,Geocortex.Gis.Geometries.Polygon,729,2942 LARCH WAY,"LOT 76, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP22446",LAND,926304-000,003-787-389,No,22446,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,734.9111328125,Click for Google StreetView
13314,Geocortex.Gis.Geometries.Polygon,731,3067 NEWBERRY ST,"LOT 207, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP38224",LAND,925718-000,008-485-356,No,38224,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,705.030517578125,Click for Google StreetView
13315,Geocortex.Gis.Geometries.Polygon,733,1231 LABURNUM AVE,"LOT 166, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP36482",LAND,925742-000,001-171-917,No,36482,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,684.935302734375,Click for Google StreetView
13316,Geocortex.Gis.Geometries.Polygon,743,1198 FRASER AVE,"LOT 180, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP37656",LAND,926012-000,004-934-768,No,37656,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,743.699951171875,Click for Google StreetView
13317,Geocortex.Gis.Geometries.Polygon,745,1181 AMAZON DR,"LOT 2, BLOCK 6, SECTION 6, NEW WEST DISTRICT, PLAN BCP11993, N RGE 1 E",LAND,764040-102,025-976-257,No,BCP11993,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,1116.0,Click for Google StreetView
13318,Geocortex.Gis.Geometries.Polygon,747,3144 NEWBERRY ST,"LOT 13, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP21046",LAND,925016-000,010-215-832,No,21046,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,774.86865234375,Click for Google StreetView
13319,Geocortex.Gis.Geometries.Polygon,754,1281 AMAZON DR,"LOT 23, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN LMP22701",LAND,762019-023,023-051-264,No,LMP22701,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,916.653564453125,Click for Google StreetView
13321,Geocortex.Gis.Geometries.Polygon,763,1195 TAMARACK PL,"LOT 97, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP31159",LAND,926712-000,006-578-926,No,31159,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,1224.0,Click for Google StreetView
13322,Geocortex.Gis.Geometries.Polygon,764,1199 LABURNUM AVE,"LOT 169, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP36482",LAND,926053-000,007-296-967,No,36482,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,693.76318359375,Click for Google StreetView
13323,Geocortex.Gis.Geometries.Polygon,765,1186 LABURNUM AVE,"LOT 156, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP36482",LAND,926780-000,007-296-827,No,36482,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,695.130859375,Click for Google StreetView
13324,Geocortex.Gis.Geometries.Polygon,766,NO ADDRESS,"LOT 3, BLOCK 6N, RANGE 1E, NEW WEST DISTRICT, PLAN EPP27932",LAND,927308-003,029-139-601,No,EPP27932,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,130.103759765625,Click for Google StreetView
13325,Geocortex.Gis.Geometries.Polygon,767,1312 AMAZON CRT,"LOT 7, SECTION 6, NEW WEST DISTRICT, PLAN LMP22701",LAND,762019-007,023-051-094,No,LMP22701,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,609.157470703125,Click for Google StreetView
13327,Geocortex.Gis.Geometries.Polygon,769,1241 AMAZON DR,"LOT 9, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN LMP30649",LAND,763041-009,023-593-083,No,LMP30649,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,428.465087890625,Click for Google StreetView
13328,Geocortex.Gis.Geometries.Polygon,775,3151 NEWBERRY ST,"LOT 19, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP21046",LAND,924722-000,010-215-905,No,21046,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,803.47265625,Click for Google StreetView
13330,Geocortex.Gis.Geometries.Polygon,781,3041 SANDLEWOOD WAY,"LOT 137, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP31865",LAND,925724-000,006-638-261,No,31865,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,1065.0,Click for Google StreetView
13331,Geocortex.Gis.Geometries.Polygon,783,3093 KILMER ST,"LOT 132, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP31038",LAND,924791-000,006-556-451,No,31038,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,727.77880859375,Click for Google StreetView
13332,Geocortex.Gis.Geometries.Polygon,784,3023 LARCH WAY,"LOT 218, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP34516",LAND,925314-000,007-072-520,No,34516,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,677.5576171875,Click for Google StreetView
13333,Geocortex.Gis.Geometries.Polygon,789,1177 BARBERRY DR,"LOT 144, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP33430",LAND,927334-000,003-777-529,No,33430,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,805.16748046875,Click for Google StreetView
13334,Geocortex.Gis.Geometries.Polygon,791,1156 AMAZON DR,"LOT 8, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN BCP9506",LAND,764040-008,025-870-351,No,BCP9506,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,429.84814453125,Click for Google StreetView
13336,Geocortex.Gis.Geometries.Polygon,795,1256 ELLIS DR,"LOT 261, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP35127",LAND,927366-000,007-100-973,No,35127,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,565.88720703125,Click for Google StreetView
13337,Geocortex.Gis.Geometries.Polygon,796,1232 ELLIS DR,"LOT 255, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP35127",LAND,927354-000,002-554-372,No,35127,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,713.99853515625,Click for Google StreetView
13338,Geocortex.Gis.Geometries.Polygon,798,3062 LARCH WAY,"LOT 237, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP34516",LAND,925738-000,002-317-125,No,34516,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,688.17626953125,Click for Google StreetView
13339,Geocortex.Gis.Geometries.Polygon,801,1256 AMAZON DR,"LOT 25, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN LMP30649",LAND,763041-025,023-593-245,No,LMP30649,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,374.83056640625,Click for Google StreetView
13340,Geocortex.Gis.Geometries.Polygon,802,1172 AMAZON DR,"LOT 25, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN BCP11993",LAND,764040-125,025-976-486,No,BCP11993,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,374.7861328125,Click for Google StreetView
13341,Geocortex.Gis.Geometries.Polygon,807,1264 FRASER AVE,"LOT 201, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP38224",LAND,925706-000,004-458-222,No,38224,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,600.035400390625,Click for Google StreetView
13345,Geocortex.Gis.Geometries.Polygon,814,1269 AMAZON DR,"LOT 2, BLOCK 6N, SECTION 6, RANGE 1E, NEW WEST DISTRICT, PLAN LMP30649",LAND,763041-002,023-593-016,No,LMP30649,No,RS2,RESIDENTIAL SINGLE DWELLING 2,3.0,428.470947265625,Click for Google StreetView
13346,Geocortex.Gis.Geometries.Polygon,815,1310 LARKSPUR DR,"LOT 59, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP22446",LAND,927059-000,007-431-678,No,22446,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,845.2900390625,Click for Google StreetView
13347,Geocortex.Gis.Geometries.Polygon,821,1261 BARBERRY DR,"LOT 107, SECTION 6, TOWNSHIP 40, NEW WEST DISTRICT, PLAN NWP31159",LAND,927314-000,006-579-159,No,31159,No,RS1,RESIDENTIAL SINGLE DWELLING 1,3.0,700.203857421875,Click for Google StreetView
